"id","name","name_short","starts_at_lt","ends_at_lt"
"5ca8b038-d187-4dd4-b08f-c277af1e14c6",Теория вероятностей и математическая статистика для экономистов (2 часть),ТВиМСЭ2,2022-02-14 00:00:00.000,2022-07-25 00:00:00.000
fc075a5d-345e-4585-9865-f1a43e4418e4,Теория волн,ТВ8,2022-02-07 00:00:00.000,2022-07-18 00:00:00.000
"511cb495-c11e-438e-b347-c6882677b5b5",Теория волн,ТВ7,2021-09-01 00:00:00.000,2022-02-07 00:00:00.000
ea124696-4a47-4b64-ae7c-fa9c9d46d2d6,Теория Галуа,ТеорГалуа,2022-02-14 00:00:00.000,2022-07-11 00:00:00.000
"9a4bb389-dc2a-425f-aeca-9adf5d8e4977",Теория геоизображений,ТГ,2022-01-10 00:00:00.000,2022-07-18 00:00:00.000
"02cbd13e-20ee-46a4-b70d-75cd00dc03d2",Теория государства и права,ТГП,2021-09-01 00:00:00.000,2022-02-14 00:00:00.000
"3d3871af-afdb-4511-a3b8-51cb29ba2c4d",Теория государства и права ,ТГиП,2021-09-01 00:00:00.000,2022-02-14 00:00:00.000
d8d8d4fd-8cd3-412e-96cb-9633fcf01b6a,Теория государства и права ,ТГП,2021-09-01 00:00:00.000,2022-02-14 00:00:00.000
d4f8fbb0-828f-4bcc-bf67-7e30c897ab20,Теория государства и права ,ТГиП,2022-02-14 00:00:00.000,2022-07-11 00:00:00.000
ec3d2a35-d2d1-4e36-b86a-bde0c0e45097,Теория государства и права ,ТГиП,2022-02-14 00:00:00.000,2022-07-11 00:00:00.000
"98afb25c-4108-4db9-8f96-89f7fca676df",Теория государства и права ,ТГП,2021-09-01 00:00:00.000,2022-02-14 00:00:00.000
"846bf704-f194-4c33-bd44-c2358737e628",Теория государства и права ,ТГП ,2022-02-14 00:00:00.000,2022-07-11 00:00:00.000
"55459f5c-26dd-481d-8274-f38ea7894244",Теория государственного управления,ТГУ,2022-02-14 00:00:00.000,2022-07-11 00:00:00.000
"44f325e9-3fd3-4cae-9654-b8a07feed5bd",Теория государственного управления,ТГУ,2021-09-01 00:00:00.000,2022-02-07 00:00:00.000
"3f142245-b482-442e-955e-010519b6cf5b",Теория заговоров в культуре Нового времени,ТЗКНВ,2022-02-14 00:00:00.000,2022-09-01 00:00:00.000
f3f6c886-a2f1-411d-8344-f4f737c6c304,Теория игр / Game Theory,GT,2022-01-31 00:00:00.000,2022-04-18 00:00:00.000
"0ed7fe8c-56d1-4c52-ba10-7c7964ec0b2f",Теория и история архитектуры,ТИА,2021-09-01 00:00:00.000,2022-01-31 00:00:00.000
"2f14bac5-3725-4346-a77f-d3c400a0672d",Теория и история государства и права,РиМ,2022-02-14 00:00:00.000,2022-09-01 00:00:00.000
d35b0235-a6ab-40d7-8eec-0dee1a37a84d,Теория и история государства и права,РиМ,2021-09-01 00:00:00.000,2022-02-06 00:00:00.000
"5396cc77-2495-4979-b8f3-925103725435",Теория и история культуры,ТИК,2021-09-01 00:00:00.000,2022-03-01 00:00:00.000
c778e14e-88ad-4bf7-bafc-c71406366908,Теория и история права и государства; история учений о праве и государстве,ТПГиИУПГ,2021-09-01 00:00:00.000,2022-03-01 00:00:00.000
"5b005bd4-4df4-48e8-a1ae-a0aa9b5b6ca9",Теория и методика в области исследований международных отношений (1),ТиМвОИМО,2021-09-01 00:00:00.000,2022-02-07 00:00:00.000
