"id","name","starts_at_lt","ends_at_lt"
"7cc46664-7f53-4438-aa8f-adcc458d85d2",ASP 40.06.01 Юриспруденция: теория и история права и государства; история учений о праве и государстве ОФО (3 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"7a1ea4c9-8ffa-411a-9710-20b814eb74c8",ASP 40.06.01 Юриспруденция: теория и история права и государства; история учений о праве и государстве ОФО (4 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"67381edc-e217-461b-a449-d7d760102d27",ASP 40.06.01 Юриспруденция: теория и история права и государства; история учений о праве и государстве ОФО (5 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
ee20d60e-3e7d-48c7-b68d-8a849605ab57,ASP 40.06.01 Юриспруденция: уголовное право и криминология; уголовно-исполнительное право ОФО (1 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"5c631cd5-531a-42b5-9385-ae46be58e6d4",ASP 40.06.01 Юриспруденция: уголовное право и криминология; уголовно-исполнительное право ОФО (3 семестр,2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"7e1ef0e5-29e2-4264-8825-323f929b569f",ASP 40.06.01 Юриспруденция: уголовное право и криминология; уголовно-исполнительное право ОФО (4 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"2f7d53ff-d4ce-4d72-bb3b-7a28d9132f2a",ASP 40.06.01 Юриспруденция: уголовное право и криминология; уголовно-исполнительное право ОФО (5 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
e5cde37d-651d-4552-bf6d-acee5772a45d,ASP 40.06.01 Юриспруденция: уголовный процесс ОФО (5 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
a12bbea0-f80f-437c-b22e-bb2810b4e7a4,"ASP 44.06.01 Образование и педагогические науки: общая педагогика, история педагогики и образования ОФО (3 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"1429fb48-be36-4e27-bf36-4d8501c27557","ASP 44.06.01 Образование и педагогические науки: общая педагогика, история педагогики и образования ОФО (4 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
